station_id,study_scope,scope_basis,programme,site_type,organization,state,site_cluster
CABEACH_WQX-4000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-4000
CABEACH_WQX-40000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-40000
CABEACH_WQX-41000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-41000
CABEACH_WQX-42000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-42000
CABEACH_WQX-43000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-43000
CABEACH_WQX-44000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-44000
CABEACH_WQX-45000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-45000
CABEACH_WQX-46000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-46000
CABEACH_WQX-47000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-47000
CABEACH_WQX-49500,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-49500
CABEACH_WQX-5000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-5000
CABEACH_WQX-50000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-50000
CABEACH_WQX-6N,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-6N
CABEACH_WQX-6S,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-6S
CABEACH_WQX-7000,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-7000
CABEACH_WQX-8100,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-8100
